AABBDD_Abo genome	Chr1A_Abo:200-500
DD_Aegilops_tauschii_TA10171 genome	Chr1D_Aegilops_tauschii_TA10171:200-500
DD_Aegilops_tauschii_TA1675 genome	Chr1D_Aegilops_tauschii_TA1675:200-500
DD_Aegilops_tauschii_TA2576 genome	Chr1D_Aegilops_tauschii_TA2576:200-500
DD_Aegilops_tauschii_XJ02 genome	Chr1_Aegilops_tauschii_XJ02:200-500
DD_Ae_tauschii_Aet6 genome	Chr1D_Ae.tauschiiD_Aet6:200-500
DDNN_RM271 genome	Chr1D_RM271:200-500
DD_tauschii_Aet5_0 genome	Chr1D_tauschii_Luo:200-500
DD_tauschii_Luo genome	Chr1D_tauschii_Luo:200-500
EE_Thinopyrum_elongatum genome	chr1E_Thinopyrum_elongatum:200-500
HH_10TJ18 genome	Chr1H_10TJ18:200-500
HH_Aizu_6 genome	Chr1H_Aizu_6:200-500
HH_Akashinriki genome	Chr1H_Akashinriki:200-500
HH_Barley3 genome	Chr1H_Barley3:200-500
HH_barley_Golden_Promise genome	Chr1H_Barley:200-500
HH_Bonus genome	Chr1H_Bonus:200-500
HH_Bowman genome	Chr1H_Bowman:200-500
HH_Chikurin_Ibaraki genome	Chr1H_Chikurin_Ibaraki:200-500
HH_Foma genome	Chr1H_Foma:200-500
HH_FT11 genome	Chr1H_FT11:200-500
HH_FT144 genome	Chr1H_FT144:200-500
HH_FT262 genome	Chr1H_FT262:200-500
HH_FT286 genome	Chr1H_FT286:200-500
HH_FT333 genome	Chr1H_FT333:200-500
HH_FT628 genome	Chr1H_FT628:200-500
HH_FT67 genome	Chr1H_FT67:200-500
HH_FT880 genome	Chr1H_FT880:200-500
HH_Golden_Melon genome	Chr1H_Golden_Melon:200-500
HH_Golden_Promise genome	Chr1H_Golden_Promise:200-500
HH_HD6172 genome	Chr1A_HD6172:200-500
HH_HID055 genome	Chr1H_HID055:200-500
HH_HID101 genome	Chr1H_HID101:200-500
HH_HID249 genome	Chr1H_HID249:200-500
HH_HID357 genome	Chr1H_HID357:200-500
HH_HID380 genome	Chr1H_HID380:200-500
HH_Hockett genome	Chr1H_Hockett:200-500
HH_HOR_10096 genome	Chr1H_HOR_10096:200-500
HH_HOR_10350 genome	Chr1H_HOR_10350:200-500
HH_HOR_10892 genome	Chr1H_HOR_10892:200-500
HH_HOR_1168 genome	Chr1H_HOR_1168:200-500
HH_HOR_12184 genome	Chr1H_HOR_12184:200-500
HH_HOR_12541 genome	Chr1H_HOR_12541:200-500
HH_HOR_13594 genome	Chr1H_HOR_13594:200-500
HH_HOR_13663 genome	Chr1H_HOR_13663:200-500
HH_HOR_13821 genome	Chr1H_HOR_13821:200-500
HH_HOR_13942 genome	Chr1H_HOR_13942:200-500
HH_HOR_14061 genome	Chr1H_HOR_14061:200-500
HH_HOR_14121 genome	Chr1H_HOR_14121:200-500
HH_HOR_14273 genome	Chr1H_HOR_14273:200-500
HH_HOR_1702 genome	Chr1H_HOR_1702:200-500
HH_HOR_18321 genome	Chr1H_HOR_18321:200-500
HH_HOR_19184 genome	Chr1H_HOR_19184:200-500
HH_HOR_21256 genome	Chr1H_HOR_21256:200-500
HH_HOR_21322 genome	Chr1H_HOR_21322:200-500
HH_HOR_21595 genome	Chr1H_HOR_21595:200-500
HH_HOR_21599 genome	Chr1H_HOR_21599:200-500
HH_HOR_2180 genome	Chr1H_HOR_2180:200-500
HH_HOR_2779 genome	Chr1H_HOR_2779:200-500
HH_HOR_2830 genome	Chr1H_HOR_2830:200-500
HH_HOR_3081 genome	Chr1H_HOR_3081:200-500
HH_HOR_3365 genome	Chr1H_HOR_3365:200-500
HH_HOR_3474 genome	Chr1H_HOR_3474:200-500
HH_HOR_4224 genome	Chr1H_HOR_4224:200-500
HH_HOR_495 genome	Chr1H_HOR_495:200-500
HH_HOR_6220 genome	Chr1H_HOR_6220:200-500
HH_HOR_7172 genome	Chr1H_HOR_7172:200-500
HH_HOR_7385 genome	Chr1H_HOR_7385:200-500
HH_HOR_7552 genome	Chr1H_HOR_7552:200-500
HH_HOR_8117 genome	Chr1H_HOR_8117:200-500
HH_HOR_8148 genome	Chr1H_HOR_8148:200-500
HH_HOR_9043 genome	Chr1H_HOR_9043:200-500
HH_HOR_9972 genome	Chr1H_HOR_9972:200-500
HH_Hordeum_erectifolium genome	Chr1H_Hordeum_erectifolium:200-500
HH_Igri genome	Chr1H_Igri:200-500
HH_Maximus genome	Chr1H_Maximus:200-500
HH_Morex genome	Chr1H_Morex:200-500
HH_OUN333 genome	Chr1H_OUN333:200-500
HH_WBDC078 genome	Chr1H_WBDC078:200-500
HH_WBDC103 genome	Chr1H_WBDC103:200-500
HH_WBDC133 genome	Chr1H_WBDC133:200-500
HH_WBDC184 genome	Chr1H_WBDC184:200-500
HH_WBDC199 genome	Chr1H_WBDC199:200-500
HH_WBDC207 genome	Chr1H_WBDC207:200-500
HH_WBDC237 genome	Chr1H_WBDC237:200-500
HH_WBDC348 genome	Chr1H_WBDC348:200-500
HH_WBDC349 genome	Chr1H_WBDC349:200-500
HH_ZDM01467 genome	Chr1H_ZDM01467:200-500
HH_ZDM02064 genome	Chr1H_ZDM02064:200-500
MM_AeComosa_PI551049 genome	Chr1M_AeComosa_PI551049:200-500
NsNsXmXm_Leymus_chinensis genome	chr1Nsh1_Leymus_chinensis:200-500
Other_RGT_Planet genome	Chr1H_RGT_Planet:200-500
RR_rye_Lo7 genome	chr1R_rye_Lo7:200-500
RR_rye_weining2 genome	Chr1R_rye_weining2:200-500
SS_ae_bicornis_TB01 genome	Chr1S_ae.bicornis.TB01:200-500
SS_Aegilops_speltoides_Y2032 genome	Chr1S_Aegilops_speltoides_Y2032:200-500
SS_ae_longissima_AEG_6782_2 genome	Chr1S_ae.longissima.AEG-6782-2:200-500
SS_ae_longissima_TL05 genome	Chr1S_ae.longissima.TL05:200-500
SS_ae_searsii_TE01 genome	Chr1S_ae.searsii.TE01:200-500
SS_ae_sharonensis_AS_1644 genome	Chr1S_ae.sharonensis.TH02:200-500
SS_ae_sharonensis_TH02 genome	Chr1S_ae.sharonensis.TH02:200-500
SS_ae_speltoides_AEG_9674_1 genome	Chr1S_ae.speltoides.AEG-9674-1:200-500
SS_ae_speltoides_TS01 genome	Chr1S_ae.speltoides.TS01:200-500
StStVVJJ_Thinopyrum_intermedium genome	chr1J_Thinopyrum_intermedium:200-500
StStVVJJ_Thinopyrum_intermedium_PI440031 genome	Chr1J_Thinopyrum_intermedium_PI440031:200-500
StStYYHH_Elymus_nutans genome	Chr1H_Elymus_nutans:200-500
StStYYHH_Elymus_nutans_Griseb genome	Chr1H_Elymus_nutans:200-500
StStYYHH_Roegneria_kamoji genome	Chr1H_Roegneria_kamoji:200-500
TT_Aegilops_mutica genome	Chr1Thap1_Aegilops_mutica:200-500
UU_Aegilops_umbellulata_TA1851 genome	Chr1U_Aegilops_umbellulata_TA1851:200-500
VV_Dasypyrum_villosum genome	chr1V_Dasypyrum_villosum:200-500
AABBDD_CS_IWGSCv1.0 genome	chr7B_Chinese_Spring1.0:1-200
AABBDD_CS_IWGSC03G genome	chr4A_Chinese_Spring2.1:1-200
AABBDD_CS_CNAU genome	Chr2A_Chinese_Spring_CNAU:1-200
AABBDD_Alchemy genome	Chr6B_Triticum_aestivum_alchemy:1-200
AABBDD_ArinaLrFor_PGSBv2 genome	chr1A_ArinaLrFor:200-500
AABBDD_Cadenza genome	Triticum_aestivum_Cadenza_EIv1.1_scaffold_000001:1-200
AABBDD_Claire genome	Triticum_aestivum_Claire_EIv1.1_scaffold_000001:1-200
AABBDD_CM104 genome	Chr1A_Chuanmai104:200-500
AABBDD_HD6172 genome	Chr1A_HD6172:200-500
AABBDD_Jagger_PGSBv2 genome	chr1A_Jagger:200-500
AABBDD_JM44 genome	Chr6A_Triticum_aestivum_JM44:200-500
AABBDD_Julius_PGSBv2 genome	chr1A_Julius:200-500
AABBDD_Lancer_PGSBv2 genome	chr1A_LongReach_Lancer:200-500
AABBDD_Landmark_PGSBv2 genome	chr1A_CDC_Landmark:200-500
AABBDD_Mace_PGSBv2 genome	chr1A_Mace:200-500
AABBDD_Mattis_PGSBv2 genome	chr1A_SY_Mattis:200-500
AABBDD_Norin61_PGSBv2 genome	chr1A_Norin61:200-500
AABBDD_Paragon genome	Triticum_aestivum_Paragon_EIv1.1_scaffold_000001:1-200
AABBDD_Renan_v2 genome	chr1A_Renan:200-500
AABBDD_Robigus genome	Triticum_aestivum_Robigus_EIv1.1_scaffold_000001:1-200
AABBDD_Spelta_PGSBv2 genome	chr1A_Triticum_spelta_PI190962:200-500
AABBDD_Stanley_PGSBv2 genome	chr1A_CDC_Stanley:200-500
AABBDD_TaesCWI86942 genome	chr2A_CWI86942:1-200
AABBDD_Weebill genome	Triticum_aestivum_weebil_EIv1_scaffold_000001:1-200
AABB_Durum_PI192051 genome	Chr2A_durum_PI192051:1-200
AABB_Durum_Wheat_Langdon_clean genome	Chr3A_Durum_Wheat_Langdon:1-200
AtAtGG_Triticum_timopheevii_PI94760 genome	chr5G_Triticum_timopheevii_PI94760:1-200
DD_Ae_tauschii_Aet6_clean_dedup genome	chr2_Ae.tauschii_Aet6:1-200
AABB_Triticum_turgidum_Svevo genome	chr5B_Durum_Wheat:1-200
DD_Aegilops_tauschii_Aet6 genome	chr2_Ae.tauschii_Aet6:1-200
SS_sharonensis_AS_1644 genome	chr1S_ae.sharonensis.AS_1644:1-200
SS_ae_longissima_TAEG67822 genome	chr4S_ae.longissima.AEG-6782-2:1-200
SS_ae_sharonensis_AS1644 genome	chr1S_ae.sharonensis.AS_1644:1-200
DDNN_Ae_ventricosa_RM271 genome	Chr3N_RM271:1-200
MM_Ae_Comosa_PI551049 genome	Chr4M_AeComosa_PI551049:1-200
StStYYHH_Elymus_nutans_clean genome	Chr06Y_Elymus_nutans:1-200
AABBDD_IWGSC03G genome	chr4A_Chinese_Spring2.1:1-200
StStYYHH_Roegneria_kamoji_clean genome	chr5H_Roegneria_kamoji:1-200
